Group,Unique_times,chat
,2:05:49,
,2:05:50,
,2:05:51,"[' LETS GOOOOO', ' Another1', ' SADO FEED LUL', ' Report Sado feeding', ' so disappointing', ' haHAA', ' cohhM not another one', ' god LUL', ' owlhou100 owlhou100', ' owlfla150', ' Haha', ' GG', ' SPAM GayPride THIS GayPride GAY GayPride TO GayPride HIT GayPride 300k GayPride', ' REPORT', ' ANOTHER ONE']"
,2:05:52,"[' London bribed sado', ' ANOTHER ONE LUL', ' sadthrow', ' owlldn150', ' owlval50', ' sado throw?', ' 😡 GIFT ME ALL-ACCESS PASS 😡 😡 GIFT ME ALL-ACCESS PASS 😡 😡 GIFT ME ALL-ACCESS PASS 😡', ' CoolStoryBob', ' HSWP', ' Anotha one', ' OWLcheers', ' sado boost machine broke', ' S A D OMEGALUL', ' #FreeFragi !']"
,2:05:53,
,2:05:54,"[' lol', ' LUL', ' ANOTHER ONE', "" fusion's tanks are playing terrible except for dva bombs"", ' c9', ' SADO TRASSHHHHHH', ' ffs philly go deathball', ' JKanStyle', ' Korea vs korea', ' FRAGi !!!!', ' BOOMBOT', ' Cheer', ' PinkMercy PinkMercy PinkMercy', ' @naopyonpyon moof!', ' BRING IN FRAGI BACK LUL']"
,2:05:55,"[' RIP OWLPHIg', ' Sado Silver player', ' ANOTHA ONE LUL', ' ANOTHER ONE', ' :(', ' Its Coming Home PogChamp PogChamp PogChamp PogChamp PogChamp', ' BibleThump BabyRage', ' MercyWing1 PinkMercy MercyWing2', ' moon2MLEM', ' MercyWing1 PinkMercy MercyWing2', ' S A D LUL', ' its over bois', ' \\o/', ' Pog London', ' iddKEK iddKEK']"
15,2:14:28,"[' wut', ' WE NEED TO.. SPAWN THIS SSSsss FOR A REVERSE SWEEP', ' im back', ' THANOS SONG', ' CMON PHILLY', "" DON'T END BibleThump BibleThump"", ' LUL', ' !uptime', ' Lest go London', ' gg LONDON EU WIN :D', ' owlphi100 owlphi100 owlphi100 owlphi100 owlphi100', ' i know zelestik', ' owlbos100 owlbos100', ' SPAM THIS CREEP BlessRNG TO HELP PHILLY SWEEP BlessRNG', ' Ez Winz boyz!']"
,2:14:29,"[' ', ' SPAM SSSsss THIS SSSsss CREEP SSSsss FOR SSSsss REVERSE SSSsss SWEEP', ' SMOrc SMOrc SMOrc SMOrc', ' A GOOD DJ']"
,2:14:30,"[' SourPls AngelThump y', ' LAST MAP BibleThump', ' WE AREN’T GONNA GET ANY SPRAYS LMAO', ' xqcHAhaa xqcHAhaa', ' OWLhighnoon', ' !spray', ' owlnye150 owlsfs150 owlshd150', ' SSSsss spam this SSSsss creep for the fusion SSSsss sweep', ' SourPls', ' Woah', ' !music', ' OWLcheers OWLcheers', ' OWLnerfthis OWLnerfthis OWLnerfthis OWLnerfthis OWLnerfthis', ' 12% LUL', ' ANY FELLOW AUSSIES HERE?']"
,2:14:31,"[' FRAGI AND SBB', ' MercyWing1 AngelThump MercyWing2', ' Reverse sweeb LUL', ' I TRUST YOU', ' PogChamp', ' OWLhammerdown', ' forsenPuke2', ' Still waiting for the sprays to drop BibleThump', ' london wins', ' owlphi100', ' AYAYA', ' PROFIT AND BIRDRING AND GESTURE AND FURY HOW COULD THEY EVER LOSE?', ' LULA LIVRE', ' SPAM SSSsss THIS SSSsss CREEP SSSsss FOR SSSsss REVERSE SSSsss SWEEP', ' GIMME KINGS ROW']"
,2:14:32,[' cheer owlshd150']
,2:14:33,"[' BlessRNG', ' ALL LONDON IS IS KOREANS!! WTF?!?!?!', ' owlldn100', ' GG Philly', ' LUL', ' FEELGOOD MUSIC', ' 🦉', ' time 2 buy all-access Kappa', ' release', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLI 🌶️ TO 🌶️ HELP 🌶️ PHILLY 🌶️', ' SPAM SSSsss THIS SSSsss CREEP SSSsss FOR SSSsss REVERSE SSSsss SWEEP', ' Afrojack?', ' BibleThump BibleThump BibleThump BibleThump', ' Philly NotLikeThis NotLikeThis NotLikeThis', ' niceo']"
,2:14:34,"[' OWLonfire OWLonfire OWLonfire OWLonfire', ' AngelThump', '0', ' Why does London get so much bias', ' OWL BibleThump BibleThump', ' BibleThump LAST MAP', ' Come back this game!', ' PogChamp PogChamp', ' London PogChamp', ' FailFish FailFish FailFish FailFish FailFish', ' MercyWing1 DarkMode MercyWing2', ' Nobody is gonna read that last message of yours', ' SPAM THIS CREEP BlessRNG TO HELP PHILLY SWEEP BlessRNG GOGO .', ' LUL', ' OWLgg OWLgg OWLgg']"
,2:14:35,
,2:14:36,
,2:14:37,"[' owlldn100 owlldn100 owlldn100', ' owlshd150', ' SPAWN THIS SSSsss FOR A REVERSE SWEEP SPAWN THIS SSSsss FOR A REVERSE SWEEP', ' ANO', ' SourPls', ' owlnye100', ' MercyWing1 PinkMercy MercyWing2', ' EQO is garbage', ' xqcSleeper xqcSleeper xqcSleeper', ' ResidentSleeper ResidentSleeper ResidentSleeper ResidentSleeper', ' SHOULD HAVE BEEN NYXL VS LONDON ResidentSleeper', ' owlphi100 owlphi100', ' SPAM THIS CREEP BlessRNG TO HELP PHILLY SWEEP BlessRNG GOGO ..', ' LEts go LONDON', ' How can I be gifted one of them all access passes']"
,2:14:38,
,2:14:39,
,2:14:40,"[' This is such a joke', ' Gg', ' !song', ' music', ' ResidentSleeper', ' BibleThump', ' :/ :Z ', ' iddWink iddWink iddWink', ' REVERSE SWEEP BlessRNG', ' OWLteamkill', ' Despactjio', ' Лондон', ' AngelThump', ' OWLboop OWLboop OWLboop', ' !music']"
,2:14:41,
,2:14:42,"["" TPFufun London is gonna win AND THAT'S THE TEA"", ' Wake up Fusion jogaerRage', ' Song name?', ' TryHard 7', ' GUCCI GANG GUCCI GANG', ' pog', ' Londonnnn', ' SourPls', ' !spray', ' SHOULD HAVE BEEN NYXL VS LONDON ResidentSleeper', ' hi']"
,2:14:43,"[' OW IS COMING HOME!', ' ряоввоов', ' DJ OMEGALUL', ' what song is this', ' PogU', ' MORE SOE', ' txaoNadejda txaoNadejda txaoNadejda', ' eveaCozy', ' OWLpotg', ' WHATS THIS SONG', ' owlldn100', ' owlbos150', ' can we hit 300k viewers?', ' SPAM THIS CREEP BlessRNG TO HELP PHILLY SWEEP BlessRNG GOGO ......', ' OWLonfire']"
16,2:15:09,"[' im sorry fusion fans', ' PogChamp', ' OWLzzz OWLzzz', ' FUSION GOGOGOG TwitchUnity', ' Keepo SPAM THIS KEEPO Keepo FOR REVERSE SWEEPO Keepo Keepo SPAM THIS KEEPO Keepo FOR REVERSE SWEEPO Keepo', ' ResidentSleeper ResidentSleeper ResidentSleeper', ' TWITCH!', ' @R1sk35 I JUST SAW U IN THE FRONT ROW DANCING IN THE SPITIFRE JERSEY!!', ' OWLJunkrat', ' DJ Khalid', ' OWLhighnoon OWLhighnoon OWLhighnoon', ' BibleThump', ' SPAM THIS CREEP BlessRNG TO HELP PHILLY SWEEP BlessRNG !', ' owlldn100']"
,2:15:10,"[' EZ WIN', ' Cya philly', ' owlshd100 owlshd100', ' owlbos150 owlfla150 owlgla150 owlphi150', ' OWLteamkill OWLnerfthis OWLonfire', ' ResidentSleeper ResidentSleeper ResidentSleeper', ' KreyGasm', ' MUSIC PogChamp', ' its lit', ' WAF', ' LONDON WILL WIN IN LONDON', ' !time', ' xqcHands xqcHands xqcHands', ' Almost 300k viewers PogChamp']"
,2:15:11,"[' F', ' Keepo', ' yeet', ' MercyWing1 PinkMercy MercyWing2', ' OWLpotg', ' 14-1 PogChamp', ' OWLLDNg OWLLDNg OWLLDNg OWLLDNg OWLLDNg', ' fury hard carry', ' NYXL VS LONDON WOULD HAVE BEEN MORE INTERESTING Jebaited ', ' BlessRNG', ' SHOULD HAVE BEEN NYXL VS LONDON ResidentSleeper /', "" KINGS ROW : It's Coming Home"", ' OWLcheers']"
,2:15:12,"[' Only NYXL could have saved the Finals BibleThump', ' SourPls SourPls', ' owlshd150 owlnye150 owlseo150 owldal150']"
,2:15:13,"[' FRAGI', ' ITS A WRAP', ' OWLLDN', ' OWLLDNg OWLLDNg', ' monkaw', ' OWLSEOg OWLSEOg OWLSEOg', ' LET FRAGI PLAY', ' monkaGun', ' @da2alhe disagree', ' seagHAA seagHAA seagHAA seagHAA', ' SSSsss REVERSE INCOMING PogChamp', ' 1 AKM blade left to start', ' ResidentSleeper ResidentSleeper ResidentSleeper']"
,2:15:14,"[' FURY EASY DVA', ' OuchFooty OuchFooty OuchFooty', ' BibleThump BibleThump BibleThump', ' moon2XD moon2XD', ' OWLnerfthis', ' GIVE TOKENS PLS', ' NYXL LUL', ' spitfire is ruining this honestly /:', ' I want Philly to turn this around', ' Será q teremos 1 virada.', ' OWLgetonpoint OWLgetonpoint OWLgetonpoint', ' !music', ' SourPls SourPls', ' SHOULD HAVE BEEN NYXL VS LONDON ResidentSleeper', ' im poor gimme all access pass 4Head']"
,2:15:15,[' 14 to 1']
,2:15:16,"[' Please all access', ' 14-1 PogChamp PogChamp PogChamp', ' JEFF', ' OWLLDN OWLLDNg OWLLDN OWLLDNg OWLLDN', ' FRAGIIIII', ' ResidentSleeper ResidentSleeper', "" where is my spray? i've been watching since watch point....."", ' !spray', ' xqcArm1 PinkMercy xqcArm2', ' owlphi150', ' owlseo150']"
,2:15:17,"[' go to game 5 plz', ' GIVE US SHADOWBURN!!!', ' @R1sk35 I JUST SAW U IN THE FRONT ROW DANCING IN THE SPITIFRE JERSEY!!!', ' SourPls', ' plat dva', ' !music', ' md7H', ' No spamming allowed (qrae_ow) (warning)', ' MUSIC', ' owlphi100', ' OWLLDNg OWLLDN OWLLDNg', ' riPepperonis riPepperonis riPepperonis', ' SHOULD HAVE BEEN NYXL VS LONDON ResidentSleeper /', ' wraxuEZ', ' ANELE']"
,2:15:18,"[' wasnt this yesterday?', ' LUL', ' owlfla150']"
,2:15:19,"[' owlshd100', "" IT'S COMING HOME"", ' SourPls', ' 14-1 lmao', ' OWLLDNg OWLNYEg', ' PogChamp', ' KonCha', ' PogChamp', ' BibleThump', ' LOL', ' owlbos150', ' GivePLZ TakeNRG GivePLZ TakeNRG GivePLZ', ' SPAM THIS CREEP BlessRNG TO HELP PHILLY SWEEP BlessRNG 6']"
,2:15:20,"[' moon2SMUG moon2SMUG', ' OWLgg OWLcheers', ' jayneO jayneO jayneO jayneO', ' SwiftRage Music', ' OWLboop OWLnerfthis', ' 14 TriHard', ' Pilly lost', ' OWLLDNg', ' EQO is garbage', ' !music', ' 14-1 PogChamp', "" How come my AdBlock didn't block DJ Khaled's super long commercial before the games started?...."", ' Sweet']"
,2:15:21,"[' KINGS ROW IS COMING HOME', ' REVERSE SWEEP TODD HELP US', ' OWLonfire', ' Lmao jsjsjsj', ' owlshd100 Dragons!', "" i just didn't wake up at 6am to watch you guys lose"", ' Please Last Map.....I had enough Fusion today', ' OWLdragonblade OWLdragonblade', ' MercyWing1 PinkMercy MercyWing2', ' OWLJunkrat', ' 300k viewers Pog', ' Yoolo', ' ITS COMIN HOME BOYS LEGGOOO', ' SPAM THIS CREEP BlessRNG TO HELP PHILLY SWEEP BlessRNG 5', ' Kreygasm']"
,2:15:22,"[' NotLikeThis NotLikeThis NotLikeThis NotLikeThis NotLikeThis', ' твьба', ' how do you get owl tokena', ' When does it start?', ' PHILI BAD', ' come in my tight buthole dadddyyyyy wraxuGasm wraxuGasm wraxuGasm', ' ITS COMING HOME', ' HOTS MUSIC LUL', ' shanghai amirite', ' e', ' GIFT ME ALL ACCESS LUL', ' OWLpotg']"
,2:15:23,"[' London London London', ' SPAWN THIS SSSsss FOR A REVERSE SWEEP', ' can we get some mods into the paid chat? lots of spam in there and nobody is stopping them', ' It’s coming home', ' im resident sleeping rn', ' PogChamp PogChamp PogChamp', ' BibleThump BibleThump BibleThump', ' 300k VIEWERS PogChamp', ' OWLVALg OWLVALg OWLVAL OWLVAL', ' OWLPHIg OWLPHIg', ' OWLselfdestruct OWLselfdestruct OWLselfdestruct OWLselfdestruct OWLselfdestruct', ' !music', ' ~', ' OWLLDN OWLLDN OWLLDN OWLgg OWLgg']"
17,2:20:03,
,2:20:04,"[' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLY 🌶️ TO 🌶️ HELP 🌶️ OUT 🌶️ PHILLY', ' owldal100', ' cuppHype cuppHype cuppHype', ' hello', ' Mercy LUL', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLY 🌶️ TO 🌶️ HELP 🌶️ OUT 🌶️ PHILLY', ' I II II IL', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLI 🌶️ TO 🌶️ HELP 🌶️ PHILLY 🌶️', ' STOP SPAMMING', ' GachiGasm', ' PogChamp PogChamp PogChamp BibleThump BibleThump BibleThump', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLY 🌶️ TO 🌶️ HELP 🌶️ OUT 🌶️ PHILLY', ' excuse me OWLgetonpoint spam this misfire to help spitfire OWLnerfthis']"
,2:20:05,"[' GO KOREA', ' OWLLDNg OWLLDNg OWLLDNg OWLLDNg', ' It’s over guys I think it’s London’s game', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLY 🌶️ TO 🌶️ HELP 🌶️ OUT 🌶️ PHILLY', ' 🌶 SPAM 🌶 THIS 🌶 CHILLY 🌶 TO 🌶 HELP 🌶 PHILLY', ' SUB IN THE OUTLAWS PLEASE BibleThump', ' No excessive use of symbols allowed (sh1gee)', ' Mercy BibleThump', ' OWLGenji OWLGenji', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLY 🌶️ TO 🌶️ HELP 🌶️ OUT 🌶️ PHILLY', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLI 🌶️ TO 🌶️ HELP 🌶️ PHILLY. 🌶️8', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLI 🌶️ TO 🌶️ HELP 🌶️ PHILLY 🌶️', ' Pog', ' Gfbg', ' D: mercy']"
,2:20:06,[' Kreygasm']
,2:20:07,"[' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLI 🌶️ TO 🌶️ HELP 🌶️ PHILLY .🌶️', ' 🌶 SPAM 🌶 THIS 🌶 CHILLY 🌶 TO 🌶 HELP 🌶 PHILLY', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLI 🌶️ TO 🌶️ HELP 🌶️ PHILLY 🌶️🌶️ SPAM 🌶️ THIS 🌶️ CHILLI 🌶️ TO 🌶️ HELP 🌶️ PHILLY 🌶️', ' Kreygasm', ' LUL', ' D:', ' h', ' xdd', ' LUL', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLI 🌶️ TO 🌶️ HELP 🌶️ PHILLY. 🌶️.', ' F', ' 🤥 Spam 🤥 This 🤥 Liar 🤥 To 🤥 help 🤥 London 🤥 Spitfire 🤥', ' owlshd100', ' LUL', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLY 🌶️ TO 🌶️ HELP 🌶️ OUT 🌶️ PHILLY']"
,2:20:08,"[' MiniK', ' 🌶 SPAM 🌶 THIS 🌶 CHILLY 🌶 TO 🌶 HELP 🌶 PHILLY', ' LUL', ' OWLLDNg', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLY 🌶️ TO 🌶️ HELP 🌶️ OUT 🌶️ PHILLY', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLY 🌶️ TO 🌶️ HELP 🌶️ OUT 🌶️ PHILLY', ' MERCY LUL', ' PHILLY THROWING CONFIRMED', ' OWLPHIg OWLPHIg', ' SPAM 🌶️ THIS🌶️ CHILI🌶️ TO🌶️ HELP🌶️ SAVE🌶️ PHILLY', ' BibleThump', ' moon21 moon22', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLI 🌶️ TO 🌶️ HELP 🌶️ PHILLY. 🌶️', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLI 🌶️ TO 🌶️ HELP 🌶️ PHILLY 🌶️', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLY 🌶️ TO 🌶️ HELP 🌶️ OUT 🌶️ PHILLYs🌶️ SPAM 🌶️ THIS 🌶️ CHILLY 🌶️ TO 🌶️ HELP 🌶️ OUT 🌶️ PHILLYs']"
,2:20:09,"[' SPAM FrankerZ THIS FrankerZ FURRY FrankerZ TO FrankerZ HELP FrankerZ OUT FrankerZ FURY!', ' owlval150']"
,2:20:10,"[' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLI 🌶️ TO 🌶️ HELP 🌶️ PHILLY', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLY 🌶️ TO 🌶️ HELP 🌶️ OUT 🌶️ PHILLY', ' nice', ' !spray', ' F', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLI 🌶️ TO 🌶️ HELP 🌶️ PHILLY 🌶️', ' LUL', ' HELLO ORTJOM', ' LUL LUL LUL LUL', ' OWLonfire OWLonfire', ' spitfire is best', ' MERCY LUL', ' CHILI BOI', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLY 🌶️ TO 🌶️ HELP 🌶️ OUT 🌶️ PHILLY', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLY 🌶️ TO 🌶️ HELP 🌶️ OUT 🌶️ PHILLY']"
,2:20:11,"[' Philly not there mentally. Playing so scared', ' Squid1 Squid2 Squid3 Squid4', ' OWLonfire', ' LUL', ' PogChamp PogChamp', ' jardioOMEGA', ' owlphi100 owlphi100 owlphi100 owlphi100 owlphi100', ' OWLgetonpoint', ' Kreygasm', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLY 🌶️ TO 🌶️ HELP 🌶️ OUT 🌶️ PHILLY', ' OWLteamkill OWLhighnoon OWLonfire OWLhighnoon OWLteamkill', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLY 🌶️ TO 🌶️ HELP 🌶️ OUT 🌶️ PHILLY', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLI 🌶️ TO 🌶️ HELP 🌶️ PHILLY 🌶️', ' Pog', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLI 🌶️ TO 🌶️ HELP 🌶️ PHILLY .🌶️']"
,2:20:12,
,2:20:13,
,2:20:14,"[' SPAM 🌶️ THIS🌶️ CHILI🌶️ TO🌶️ HELP🌶️ SAVE🌶️ PHILLY', ' spit fire', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLI 🌶️ TO 🌶️ HELP 🌶️ PHILLY 🌶️', ' GG', ' rip mercy', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLY 🌶️ TO 🌶️ HELP 🌶️ OUT 🌶️ PHILLY', ' moon2MLEM ❓', ' owlldn100 owlldn100 owlldn100 owlldn100 owlldn100', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLI 🌶️ TO 🌶️ HELP 🌶️ PHILLY 🌶️', ' Kreygasm', ' xd', ' TehePelo TehePelo', ' PogChamp', ' chilli', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLI 🌶️ TO 🌶️ HELP 🌶️ PHILLY .🌶️']"
,2:20:15,
,2:20:16,"[' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLI 🌶️ TO 🌶️ HELP 🌶️ PHILLY .🌶️🌶️ SPAM 🌶️ THIS 🌶️ CHILLI 🌶️ TO 🌶️ HELP 🌶️ PHILLY .🌶️', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLI 🌶️ TO 🌶️ HELP 🌶️ PHILLY 🌶️', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLI 🌶️ TO 🌶️ HELP 🌶️ PHILLY 🌶️🌶️ SPAM 🌶️ THIS 🌶️ CHILLI 🌶️ TO 🌶️ HELP 🌶️ PHILLY 🌶️', ' LONDON POG', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLI 🌶️ TO 🌶️ HELP 🌶️ PHILLY 🌶️', ' moon2H BACK TO THE PIT moon2H', ' SMOrc', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLI 🌶️ TO 🌶️ HELP 🌶️ PHILLY .🌶️', ' PJSalt PJSalt PJSalt', ' chili', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLI 🌶️ TO 🌶️ HELP 🌶️ PHILLY .🌶️', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLY 🌶️ TO 🌶️ HELP 🌶️ OUT 🌶️ PHILLY', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLY 🌶️ TO 🌶️ HELP 🌶️ OUT 🌶️ PHILLY', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLI 🌶️ TO 🌶️ HELP 🌶️ PHILLY .🌶️ 🌶️ SPAM 🌶️ THIS 🌶️ CHILLI 🌶️ TO 🌶️ HELP 🌶️ PHILLY .🌶️']"
,2:20:17,"[' wow', ' kreygasm', ' @aiqoas dont think begging is gonna work', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILI 🌶️ TO 🌶️ HELP 🌶️ PHILLY .🌶️.', ' pzsInutil pzsInutil pzsInutil pzsInutil pzsInutil', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLY 🌶️ TO 🌶️ HELP 🌶️ OUT 🌶️ PHILLY', ' No excessive use of emotes allowed (kuri_tea) (warning)', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLY 🌶️ TO 🌶️ HELP 🌶️ OUT 🌶️ PHILLY .', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLI 🌶️ TO 🌶️ HELP 🌶️ PHILLY. 🌶️🌶️ SPAM 🌶️ THIS 🌶️ CHILLI 🌶️ TO 🌶️ HELP 🌶️ PHILLY. 🌶️', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLI 🌶️ TO 🌶️ HELP 🌶️ PHILLY .🌶️', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLI 🌶️ TO 🌶️ HELP 🌶️ PHILLY 🌶️', ' trihard7', ' F', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLY 🌶️ TO 🌶️ HELP 🌶️ OUT 🌶️ PHILLY', ' anakRip anakRip anakRip']"
18,2:22:54,"[' wow llondoners sound strange', ' C9', ' C9 LUL', ' LUL', ' owlphi1500', ' naisu shi 9', ' C9 LUL', ' Pog c9', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLY 🌶️ TO 🌶️ HELP 🌶️ OUT 🌶️ PHILLY🌶️ SPAM 🌶️ THIS 🌶️ CHILLY 🌶️ TO 🌶️ HELP 🌶️ OUT 🌶️ PHILLY🌶️ SPAM 🌶️ THIS 🌶️ CHILLY 🌶️ TO 🌶️ HELP 🌶️ OUT 🌶️ PHILLY', ' C9 LUL .', ' OWLLDN', ' defeat sound tho', ' f', ' SHE NINE', ' LUL']"
,2:22:55,"[' No spamming allowed (IamOEXID) (warning)', ' C9 LUL']"
,2:22:56,"[' owlphi150', ' Naisu shenine', ' MercyWing1 imGlitch MercyWing2', ' 🕌 SPAM 🕌 THIS 🕌 DOME 🕌 IT’S 🕌 COMING 🕌 HOME 🕌', ' LUL']"
,2:22:57,"[' c9', ' C9 LUL', ' OWLPHI100 OWLPHI100', ' HAHAHAHHA', ' C9C9C9C9C9C9', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLY 🌶️ TO 🌶️ HELP 🌶️ OUT 🌶️ PHILLY🌶️ SPAM 🌶️ THIS 🌶️ CHILLY 🌶️ TO 🌶️ HELP 🌶️ OUT 🌶️ PHILLY', ' c9 4Head', ' c9', ' ???????', ' u got this spitfire', ' 나이스', ' DID SOMEONE SAY', ' c9', ' I LOVE COCKNEY!!!!!!!!!!!!!!!']"
,2:22:58,[' owlphi100']
,2:22:59,
,2:23:00,"[' @lilakeyLK ily eveaWink', ' cool', ' SabaPing SabaPing SabaPing SabaPing', ' OWLLDNg OWLLDNg OWLLDNg', "" I'm so glad I got to hear that. Lots of really informative information that they put out"", ' c9', ' C9', ' PHI DansGame moon2P', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLY 🌶️ TO 🌶️ HELP 🌶️ OUT 🌶️ PHILLY', ' C9 LUL', ' NAISU C9', ' C9 OWLLDN', ' xqcZ9', ' lol', ' c9 lul']"
,2:23:01,"[' LUL LUL LUL', ' 천천히하래', ' yes', ' Lol', ' that enlish accent ahhhhh', ' C9', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLY 🌶️ TO 🌶️ HELP 🌶️ OUT 🌶️ PHILLY', ' ALL I UNDERSTOOD WAS NICEU', ' C9', ' No excessive use of emotes allowed (ausdaes) (warning)', ' GOT TO LOVE BDOSIN', ' te huele el toto a pescaoo', ' C9', ' NAISU']"
,2:23:02,
,2:23:03,
,2:23:04,"[' Diiiiivaaaaaa', ' c9 saying c9 LUL c9 saying c9 LUL', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILI 🌶️ TO 🌶️ HELP 🌶️ OUT 🌶️ PHILLY 🌶️ 🌶️ SPAM 🌶️ THIS 🌶️ CHILI 🌶️ TO 🌶️ HELP 🌶️ OUT 🌶️ PHILLY 🌶️', ' K', ' ???', ' OWLhammerdown', ' C9', ' SEAAA9', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLI 🌶️ TO 🌶️ HELP 🌶️ PHILLY. 🌶️🌶️ SPAM 🌶️ THIS 🌶️ CHILLI 🌶️ TO 🌶️ HELP 🌶️ PHILLY. 🌶️', ' еееее пой', ' C9', ' shi 9', ' lol', ' ']"
,2:23:05,"[' LUL', ' OWLLDN 50', ' OWLLDN OWLLDN OWLLDN', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLI 🌶️ TO 🌶️ HELP 🌶️ PHILLY 🌶️', "" Spam didn't help Shanghai. It won't help Philly LUL LUL LUL"", ' POGGERS', ' LUL', ' 280k pog', ' yuhhhhh', ' OWLDAL', ' OWLhammerdown', ' LUL', ' loh chinoh cochinoh', ' naicu', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLI 🌶️ TO 🌶️ HELP 🌶️ PHILLY .🌶️']"
,2:23:06,
,2:23:07,
,2:23:08,"[' haHAA', ' XQC', ' ???????', ' C9', ' Kappa Kappa Kappa', ' @aurora_borealis lul', ' hbdjhauudgahduai9uajkdajdan C9', ' c9 LUL', ' l', ' HAHAHAHAHAH', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILI 🌶️ TO 🌶️ HELP 🌶️ OUT 🌶️ PHILLY', ' ***', ' c LUL']"
,2:23:09,"[' C9 is London LUL', ' :O', ' LUL LUL LUL LUL LUL LUL LUL LUL LUL LUL LUL LUL', ' PinkMercy', ' ???????', ' C9', ' BOGPILL', ' gooooo', ' No excessive use of symbols allowed (ThePopcornPro)', ' No long messages allowed (Melfry_Games) (warning)', ' *Intense screaming*', ' le', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLY 🌶️ TO 🌶️ HELP 🌶️ OUT 🌶️ PHILLY', ' C9 LUL', ' owlldn100']"
19,2:23:20,"[' who?', ' Im here at the OWL but twitch chat makes this better', ' WHO LUL', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILLI 🌶️ TO 🌶️ HELP 🌶️ PHILLY .🌶️ 🌶️ SPAM 🌶️ THIS 🌶️ CHILLI 🌶️ TO 🌶️ HELP 🌶️ PHILLY .🌶️', ' ?????', ' pog', ' NAISU C9', ' PHILY SUCKS BROS', ' BOGDAN POG', ' WHO???', ' 🌶️ SPAM 🌶️ THIS 🌶️ CHILI 🌶️ TO 🌶️ HELP 🌶️ OUT 🌶️ PHILLY', ' C9', ' WHO? LUL', ' owlldn300']"
