Group,Unique_times,chat
,0:41:46,"[' haHAA', ' DJ KHALID', ' WOAH DJ KHALED', ' YOU PLAYED YOURSELF', ' LUL', ' PogChamp', ' shroud4Head shroud4Head shroud4Head shroud4Head', ' PogChamp', ' 4Head', ' DJ KALID', ' OWLLDN OWLLDN OWLLDN OWLLDN OWLLDN', ' OWLhugeres', ' MAJOR KEY', ' DJ KHALED', ' WE THE BEST']"
,0:41:47,
,0:41:48,
,0:41:49,"[' OWLLDNg OWLLDNg OWLLDNg', ' wait dj khaled?', ' GOD NO ANYTHING BUT KAHLID', ' anotha one', ' nooooo', ' NO DansGame', ' LUL', ' CRFooty PAFooty CRFooty PAFooty', ' haHAA', ' PogChamp', ' MercyWing1 OWLgg MercyWing2 MercyWing1 OWLgg MercyWing2', ' wait what', ' osamaWut osamaWut osamaWut', ' KHALID OMEGALUL', ' fs']"
,0:41:50,
,0:41:51,"[' PogChamp PogChamp', ' owlbos150', ' spam this chilli to help out philly', ' nerdStar nerdStar nerdStar', ' OWLPHIg OWLPHIg OWLPHIg', ' ??????', ' OWLboop OWLboop OWLgg OWLnerfthis', ' LUL', ' ZZZZ', ' IS GOING DOWN LUL', ' MercyWing1 OWLgg MercyWing2', ' owlbos100 owlbos100 owlbos100', ' the broccoli centre', ' DJ KHALED LUL', ' LUL']"
3,0:48:30,"[' haHAA', ' WutFace', ' IF YOU WEARING PANTS PUT YO HANDS UP', ' wow', ' Cringefriends out forsenPuke2 👉 🚪 Weebs in forsenPuke2 👌 4', ' OWLfireinthehole OWLfireinthehole OWLfireinthehole OWLfireinthehole', ' KonCha', "" don't care about tour"", ' LUL', ' OWLPHIg OWLLDNg', ' Mission failed better luck next time', ' EJ KHALED', "" Khaled doesn't even know what overwatch is"", ' DONT CAREEEEEEEE', ' TTours']"
,0:48:31,"[' owlseo200', ' LUL', ' paid performer!', ' HE THE WORST', ' MAKE IS STOP', ' AWFUL']"
,0:48:32,
,0:48:33,"[' DJ KHALEDDDDDDADDY', ' Poggers', ' WOOOOOOOOOOO', ' AMAZING EVENT', ' Fishmoley', ' Pog', ' PogChamp', ' TableHere FlipThis', ' SMOrc SMOrc SMOrc SMOrc', ' F', ' OWLLDNg OWLLDNg OWLLDNg', "" what's the event called"", ' MrDestructoid', ' NotLikeThis Stop', "" HE DOESN'T KNOW WHERE HE IS LUL""]"
,0:48:34,"[' Pog', ' Laaaaame', ' owlldn150']"
,0:48:35,"[' SHOULDA WENT', ' mistake', ' kappa', ' FailFish', ' haHAA', ' is he going to sing soon?', ' FailFish FailFish LUL LUL', ' NO WAY OMEGALUL', ' ???????', ' YES DJ KHALED', ' @shinyow kabajiRage', ' ecks dee', ' This is so bad.', ' suck it jay z', ' DJ Khalid hates ow now']"
,0:48:36,"[' haHAA', ' Lies', ' all for the money', ' Cringefriends out forsenPuke2 👉 🚪 Weebs in forsenPuke2 👌 6', ' FortHype FortHype FortHype', ' SMOrc', ' Kappa', ' PogChamp PogChamp PogChamp PogChamp', ' BRING MY QUEEN WHERE IS SHE', ' ищш8т', ' No spamming allowed (Cyrionz) (warning)', ' owlshd100', ' owlldn150', ' LUL', ' 快一點啦 滾']"
,0:48:37,[' WHAT IS THIS']
,0:48:38,"[' WutFace WutFace WutFace WutFace', ' WHAT JUST HAPPENED', ' SAID I NEED THE WORK', ' :po', ' Kappa', ' yawn MercyWing1😴 MercyWing2', ' BEYONCE PogChamp', ' WHY THIS F*T*SS KID??', ' wtf', ' owldal100', ' malik kill this clown', ' yoooo', ' OWLAna OWLAna', ' sellout', ' anakShakal']"
,0:48:39,"[' PowerUpL ResidentSleeper PowerUpR', ' forsenH', ' Oh yEah YeaH', ' ?????', ' POGGERS', ' what', ' nobody cares', ' skip button? WutFace', ' DansGame', ' Can not believe', ' gett off the stage already', ' gamzze614 est un turc', ' F', ' excuse', ' haHAA']"
,0:48:40,
,0:48:41,"[' WHO CARES', ' LUL LUL LUL', ' LUL', ' YEAAAAAAAAAA', "" What's the name of the event?"", ' PogChamp HIS PANTS DIDINT FALL DOWN', ' Lol wtf', ' Kappa', ' PLUG', ' spam for jeff or we go deaf', ' P L U G', ' LUL LUL LUL LUL LUL', ' CRINGE CRINGE CRINGE', ' ГЛЭЧИНА БЛЯ ТЫ ГЛЯНЬ', ' ?????????']"
,0:48:42,"[' :)', ' F', ' OWLzzz OWLzzz OWLzzz OWLzzz', ' lmao what', ' im ded LUL', ' LUL', ' FOR THA M O N E Y ', ' owlhou100 owlhou100', ' LUL PogChamp', ' Pogogogog', ' LUL', ' LUL', ' PoghChamp']"
,0:48:43,
,0:48:44,"[' WE DA BESS', ' PogChamp', ' 4Head', ' WutFace YIKES', ' NotLikeThis', ' Kreygasm', ' LUL', ' ???? LOL', ' OWLdragonblade such cringe', ' G', ' ?????', ' khaled']"
4,0:50:25,"[' NEXT', "" He's failing worse than the Shanghai Dragons."", ' stop please', ' OWLDoomfist OWLDoomfist OWLDoomfist', ' f', ' NotLikeThis', ' when hes going to sing?', ' This is so bad', ' NotLikeThis NotLikeThis NotLikeThis', ' DJ Khalid', ' those are 2 words...', ' Why him?', ' cringe', ' END IT', ' 2 words']"
,0:50:26,"[' BOOOOO', ' plz stop this']"
,0:50:27,"[' oof', ' WutFace WutFace WutFace WutFace OWLnerfthis', ' ANOTHA ONE', ' DJ KHALED PogChamp PogChamp', ' NotLikeThis', ' feel the one', ' They gonna fire that dj....', ' NotLikeThis', ' owlseo50', ' HE SAYS NONE OF THE WORDS', ' No excessive use of symbols allowed (SageOW) (warning)', ' oh no', ' anotha one', ' please stop', ' ??????']"
,0:50:28,"[' ????', ' Hi', ' WutFace', ' GIVE ME SEMMLER INSTEAD ResidentSleeper', ' STOPPPPPPPPPP', ' i can yell into a mic to', ' y', ' No excessive use of emotes allowed (MilliXII) (warning)', ' CAN WE WATCH THE VIDEO GAME', ' CRINGEFEST', ' OWLcheers', ' I hate this is so many levels', ' NotLikeThis', ' MAKE IT STOP', ' anotherone']"
,0:50:29,"[' haHAA', ' NA SINGING LUL']"
,0:50:30,"[' STIOOIP', ' LUL', ' No one likes this performer - can we get ANOTHER ONE', ' PLZ STOP', ' Can he pls stop OWLMoira', ' owlshd150', ' REFUND', ' This is insanely cringey', ' you guys are nothing but bagels', ' uhm', ' C R I N G E', ' NA SINGING LUL NA SINGING LUL NA SINGING LUL NA SINGING LUL NA SINGING LUL NA SINGING LUL', ' This is bad', ' LUL', ' LUL LUL LUL']"
,0:50:31,"[' PLS STOP THIS', ' Very cringe', ' so bad it hurts', ' KLHALED', ' DJ KAHLED', ' JEFF HALP', ' REFUND', ' LMAOOOOO', ' WIDOW MAIN ANOTHER ONE LUL', ' That DJ is so bad', '1', ' Get Metallica in there or something', ' ANOTHA ONE']"
,0:50:32,"[' LOVE', ' TableHere FlipThis', ' ScaredyCat', ' он просто ходит и подпевает...', ' YIKES', ' LMFAOOOOO', ' nerds', ' lol']"
,0:50:33,
