Unique_times,chat,
3:07:22,"[' LETS GOOOOOOO', ' PepeHands', ' ES NotLikeThis', ' KappaPride', ' EZ Clap', ' gachiGASM', ' bad plays win game LUL', ' EZ Clap', ' gachi', ' gg', ' ']",
3:07:23,"[' GOT HIM', ' PogU', ' WOW', ' PogChamp', ' gg', ' well deserved go orange', ' SKILLLLL', ' KonCha BYE MAGE LUL', ' Kolent-out']",
3:07:24,"[' SADLENTO', ' boo..', ' kolento missplay', ' 5Head', ' Kreygasm Kreygasm Kreygasm Kreygasm Kreygasm Kreygasm', ' Epic win', ' red', ' good games from both players tygaLOVE']",
3:07:25,"[' LUL', ' gg', ' FeelsBadMan', ' nice!', ' GG PepeLaugh', ' rouge is boooooooooring', ' GO ORANGE', ' NOOB WINS', ' KOLENTO :(', ' LUL LUL', ' i hate rng']",
3:07:26,"[' gg', ' GG', ' GGGGGGGGGGGGG', ' noooooo', ' kolento deserved it', ' EZ Clap', ' GG', ' gg']",
3:07:27,"[' GG', ' NotLikeThis vs monkaHmm', ' cheh mange tes morts Kolznto', ' also the 7 mana warlock taunt?', ' HSWP', ' HSWP', ' GG', ' gg']",
3:07:28,"[' orange ', ' HS18GG HS18GG', ' BibleThump BibleThump BibleThump BibleThump', ' monkaHmm', ' Kreygasm', ' 1 classic MaxLOL', ' BibleThump', ' PogChamp Clap', ' Aww he has ANXIETY POOR BABBY LUL', ' KappaPride emotional', ' SKILL LUL', ' PogChamp']",
4:17:13,"[' monkaW', ' LULW', ' Lose to tier 4 deck LUL', ' BlessRNG']",
4:17:14,"[' 50/50 brawl monkaS', ' What is he doing?']",
4:17:15,,' BlessRNG'
4:17:16,,' ???'
4:17:17,"[' Poor PURPLE!', ' BlessRNG BlessRNG BlessRNG', ' POG']",
4:17:18,"[' BlessRNG', ' gg nice play', ' Spam 🐢 this 🐢 turtle 🐢 to 🐢 help 🐢 Mr. Purple']",
4:17:19,"[' BlessRNG Pls let purple lose destroy all control warrior', ' I have to give Eddie credit for playing a deck that no one else has used', ' danS DINOS']",
4:17:20,,' ResidentSleeper'
4:17:21,,
4:17:22,"["" I'm better than the other gm's BabyRage BabyRage""]",
4:17:23,"[' wot?', ' Spam 🐢 this 🐢 turtle 🐢 to 🐢 help 🐢 Purple']",
4:17:24,"["" Purple is touching his hair like he's typing in a cheat code""]",
4:17:25,"[' BlessRNG', ' monkaW', ' monkaS Clap', ' ???', ' BlessRNG']",
4:17:26,"["" THEY CAN'T EVEN COUNT BOMBS OMEGALUL""]",
