category,parts,number
badp,a,2.2641509433962264
caction,a,5.660377358490567
cdesign,a,9.433962264150944
cinfo,a,13.584905660377359
comment,a,2.2641509433962264
game,a,13.962264150943396
goodp,a,4.150943396226415
other,a,34.33962264150943
question,a,9.433962264150944
request,a,4.905660377358491
badp,b,1.509433962264151
caction,b,7.169811320754717
cdesign,b,10.566037735849058
cinfo,b,12.830188679245284
comment,b,1.509433962264151
game,b,12.452830188679245
goodp,b,3.3962264150943398
other,b,34.33962264150943
question,b,9.433962264150944
request,b,6.7924528301886795
badp,c,1.153846153846154
caction,c,8.076923076923077
cdesign,c,7.307692307692308
cinfo,c,13.076923076923078
comment,c,5.0
game,c,12.307692307692308
goodp,c,9.615384615384617
other,c,30.384615384615383
question,c,8.846153846153847
request,c,4.230769230769231
