category,t0,t1,t2
badp,2.26,1.51,1.15
caction,5.66,7.17,8.08
cdesign,9.43,10.57,7.31
cinfo,13.58,12.83,13.08
comment,2.26,1.51,5.00
game,13.96,12.45,12.31
goodp,4.15,3.40,9.62
other,34.34,34.34,30.38
question,9.43,9.43,8.85
request,4.91,6.79,4.23
