1,16.0
2,6.666666666666667
3,3.6666666666666665
4,5.0
5,12.0
6,6.666666666666667
7,5.0
8,10.0
9,9.666666666666666
10,6.0
11,10.0
12,11.666666666666666
13,4.333333333333333
14,7.0
15,13.0
16,11.333333333333334
17,4.0
18,6.0
19,5.0
20,10.0
21,11.0
22,6.0
23,9.0
24,3.0
25,6.0
26,2.0
27,3.0
28,6.333333333333333
29,5.666666666666667
30,2.6666666666666665
31,3.3333333333333335
32,2.3333333333333335
33,4.666666666666667
34,6.333333333333333
35,6.666666666666667
36,6.666666666666667
37,4.333333333333333
38,2.0
39,3.0
40,3.6666666666666665
41,3.0
42,1.3333333333333333
43,4.666666666666667
44,2.0
45,6.333333333333333
46,2.6666666666666665
47,5.333333333333333
48,1.0
49,4.0
50,2.3333333333333335
51,1.3333333333333333
52,6.333333333333333
53,4.0
54,2.3333333333333335
55,3.3333333333333335
56,3.3333333333333335
