category,parts,number
badp,a,1.1764705882352942
caction,a,9.411764705882353
cdesign,a,3.5294117647058822
cinfo,a,5.88235294117647
game,a,18.823529411764707
goodp,a,7.0588235294117645
other,a,35.294117647058826
question,a,10.588235294117647
request,a,8.235294117647058
badp,b,1.1764705882352942
caction,b,15.294117647058824
cdesign,b,8.235294117647058
cinfo,b,8.235294117647058
comment,b,1.1764705882352942
game,b,11.76470588235294
goodp,b,14.117647058823529
other,b,27.058823529411764
question,b,8.235294117647058
request,b,4.705882352941177
badp,c,3.614457831325301
caction,c,14.457831325301203
cdesign,c,7.228915662650602
cinfo,c,3.614457831325301
comment,c,2.4096385542168677
game,c,9.63855421686747
goodp,c,13.253012048192772
other,c,30.120481927710845
question,c,8.433734939759036
request,c,7.228915662650602
