,index,event,event_code,time,user,message,category,code,diff
78,2160,match round two,9,[1:28:22] ,melloww,these smurfs are ruining the poor rookies free weekend,game,9,1.0
79,2161,match round two,9,[1:28:24] ,infectedjazz,gonna check if bundle is out on ps,game,9,1.0
80,2162,match round two,9,[1:28:25] ,darnellplayer,ed fireball motion with her feet instead oh dear,caction,3,1.0
81,2163,match round two,9,[1:28:25] ,battlebrn,these models look better up close,game,9,1.0
82,2164,match round two,9,[1:28:26] ,bobdobbz,whats that frame data site,question,8,1.0
83,2165,match round two,9,[1:28:26] ,mosesthechosenone,poison dot,request,1,1.0
84,2166,match round two,9,[1:28:31] ,megafloraa,how much is the pack,game,9,1.0
85,2167,match round two,9,[1:28:36] ,hurked,nice,goodp,6,1.0
86,2168,match round two,9,[1:28:36] ,aminefifty,moonl,other,10,1.0
87,2169,match round two,9,[1:28:36] ,gruffgridof,tyrantwhip tyrantwhip tyrantwhip tyrantwhip tyrantwhip,other,10,1.0
88,2170,match round two,9,[1:28:38] ,nytecrawla,my man said eron black im weak fairyklul fairyklul fairyklul fairyklul fairyklul,other,10,1.0
89,2171,match round two,9,[1:28:39] ,jayvokz,poison w no fb or rekkas,cinfo,5,1.0
90,2172,match round two,9,[1:28:42] ,gregcanela,poison can spank me anytime,cinfo,5,1.0
91,2173,match round two,9,[1:28:45] ,nosferatulive,the bundle is same price as purchasing all,game,9,1.0
92,2174,match round two,9,[1:28:46] ,poorygone,yes its good,goodp,6,1.0
93,2175,match round two,9,[1:28:48] ,supermechakupo,infectedjazz its not out in na yet,game,9,1.0
94,2176,match round two,9,[1:28:52] ,sshomes,english poison doesnt have good sounding ora ora,cdesign,4,1.0
95,2177,match round two,9,[1:28:53] ,valeriobr,aihauhauaha,caction,3,1.0
96,2178,match round two,9,[1:28:53] ,majestichimeros,giveplz giveplz giveplz,other,10,1.0
97,2179,match round two,9,[1:28:54] ,yamsandjams,lol,goodp,6,1.0
98,2180,match round two,9,[1:28:56] ,squalladv,doodmako,goodp,6,1.0
99,2181,match round two,9,[1:28:56] ,mrmuddyk,what,goodp,6,1.0
100,2182,match round two,9,[1:28:59] ,azraelgt,bobdobbz httpssfvsimcomdiff,other,10,1.0
101,2183,match round two,9,[1:29:00] ,peepcan,huh,badp,7,1.0
102,2184,match round two,9,[1:29:01] ,clinnamon,nice,goodp,6,1.0
103,2185,match round two,9,[1:29:02] ,gregcanela,you can fake whip,request,1,1.0
104,2186,match round two,9,[1:29:03] ,enzo,booty pose,caction,3,1.0
105,2187,match round two,9,[1:29:03] ,ragingmarmot,then there is a swimsuit bundle for,game,9,1.0
106,2188,match round two,9,[1:29:05] ,drunkennoodlez,wait she has a stance,caction,3,1.0
107,2189,match round two,9,[1:29:07] ,zyxwhitewind,stance character,caction,3,1.0
108,2190,match round two,9,[1:29:08] ,someguyzero,another stream sniper,caction,3,1.0
109,2191,match round two,9,[1:29:08] ,damierreid,the range on that charge,caction,3,1.0
110,2192,match round two,9,[1:29:10] ,infectedjazz,supermechakupo live in eu maybe up here i dunno,other,10,1.0
111,2193,match round two,9,[1:29:13] ,poorygone,she got stances,cinfo,5,1.0
112,2194,match round two,9,[1:29:13] ,fightersarg,fighteorgybros fighteorgybros fighteorgybros,other,10,1.0
113,2195,match round two,9,[1:29:14] ,ragingmarmot,and the hinda stage isnt in either bundle,game,9,1.0
114,2196,match round two,9,[1:29:17] ,bobdobbz,azraelgt thanks,other,10,1.0
115,2197,match round two,9,[1:29:18] ,supermechakupo,infectedjazz youre good then,other,10,1.0
116,2268,match round two,9,[1:32:51] ,dtested,you can also vtrigger from it into sweep juggle combo,request,1,71.0
117,2269,match round two,9,[1:33:03] ,squalladv,tarzan mixups,game,9,1.0
118,2270,match round two,9,[1:33:08] ,llesor,she should use st mk more,request,1,1.0
119,2271,match round two,9,[1:33:12] ,horseapples,poison,cinfo,5,1.0
120,2272,match round two,9,[1:33:21] ,taken,im glad posion has a whip now,cdesign,4,1.0
121,2273,match round two,9,[1:33:24] ,melloww,shinzo youd be surprised how many newbies run ranked straight away,game,9,1.0
