,index,event,event_code,time,user,message,category,code,diff,group,parts
67,1505,match round two,9,[1:08:42] ,greyseerrob,honda is hawt kappapride,cdesign,4,1,5,a
68,1506,match round two,9,[1:08:43] ,abdulalm,no one like honda lol,cdesign,4,1,5,a
69,1507,match round two,9,[1:08:46] ,cellus,i want viper,request,1,1,5,a
70,1508,match round two,9,[1:08:47] ,inodmyheadwhenilose,this chat is just weebs,other,10,1,5,a
71,1509,match round two,9,[1:08:49] ,drunkennoodlez,honda is sickkkk fuck the haters,cdesign,4,1,5,b
72,1510,match round two,9,[1:08:49] ,cellus,still,other,10,1,5,b
73,1511,match round two,9,[1:08:49] ,badarcade,can those cheeks clap times,question,8,1,5,b
74,1512,match round two,9,[1:08:56] ,rashidoo,yeah honder is cool,cinfo,5,1,5,b
75,1513,match round two,9,[1:08:57] ,darnellplayer,i didnt want honda but world warriors want him,cinfo,5,1,5,b
76,1514,match round two,9,[1:08:59] ,johnliq,honda looks good,cdesign,4,1,5,b
77,1515,match round two,9,[1:08:59] ,ninjavanish,its good to have honda back,cinfo,5,1,5,b
78,1516,match round two,9,[1:09:00] ,darknessragepr,her fb looking like ks from kof,cdesign,4,1,5,c
79,1517,match round two,9,[1:09:06] ,keikei,i want honda in jst a thong,cdesign,4,1,5,c
80,1518,match round two,9,[1:09:08] ,leoguimaraes,hondas throw is a hump,caction,3,1,5,c
81,1519,match round two,9,[1:09:08] ,squalladv,honda is really great designed for sfv,cdesign,4,1,5,c
82,1520,match round two,9,[1:09:08] ,megatonbeef,honda isnt the same without miek russ,cinfo,5,1,5,c
83,1521,match round two,9,[1:09:12] ,mir,headbutt got anti air hitboxes for the first three frames or so,caction,3,1,5,c
84,1522,match round two,9,[1:09:12] ,poorygone,hondas damage tho,cinfo,5,1,5,c
85,1523,match round two,9,[1:09:15] ,mir,also shp,other,10,1,5,c
86,1524,match round two,9,[1:09:19] ,thelexnard,you need to give someone a kupakawfee,other,10,1,5,c
87,1617,match round two,9,[1:12:06] ,poorygone,told ja,other,10,93,6,a
88,1618,match round two,9,[1:12:06] ,nosferatulive,wake up fireball,request,1,1,6,a
89,1619,match round two,9,[1:12:08] ,someguyzero,she must be kens long lost sister,cinfo,5,1,6,a
90,1620,match round two,9,[1:12:08] ,aaron,hes a fortnite player trying out for the first time,other,10,1,6,a
91,1621,match round two,9,[1:12:09] ,robobishop,lucia legit just better ken,cinfo,5,1,6,a
92,1622,match round two,9,[1:12:11] ,zyxwhitewind,this guy isnt silver yet,other,10,1,6,a
93,1623,match round two,9,[1:12:20] ,mrmuddyk,at least his connection is good,other,10,1,6,b
94,1624,match round two,9,[1:12:21] ,darnellplayer,komradekontroll i call heavy bs with this card,other,10,1,6,b
95,1625,match round two,9,[1:12:22] ,thiir,does her low medium kick cancelable,question,8,1,6,b
96,1626,match round two,9,[1:12:24] ,shawnu,lucil give me strength,request,1,1,6,b
97,1627,match round two,9,[1:12:31] ,thelexnard,every time i see this stage i think of the snes sfii turbo box art,game,9,1,6,b
98,1628,match round two,9,[1:12:33] ,clinnamon,her kicking those fireballs is kinda sick,caction,3,1,6,b
99,1629,match round two,9,[1:12:36] ,paulowebtv,not bad,goodp,6,1,6,c
100,1630,match round two,9,[1:12:36] ,mrmuddyk,not badnot ba,goodp,6,1,6,c
101,1631,match round two,9,[1:12:39] ,moravia,ken players,cinfo,5,1,6,c
102,1632,match round two,9,[1:12:45] ,ajrea,p oo p p p p p oo p,other,10,1,6,c
103,1633,match round two,9,[1:12:49] ,badarcade,they both say not bad,cinfo,5,1,6,c
104,1634,match round two,9,[1:12:50] ,cellus,the double grab whiff god,cinfo,5,1,6,c
105,1678,match round two,9,[1:14:21] ,fedorabattlemaster,is this ceroblasts console account,question,8,44,7,a
106,1679,match round two,9,[1:14:29] ,squalladv,dasmesee half the females char in sfv are nor blonde,cdesign,4,1,7,a
107,1680,match round two,9,[1:14:31] ,mrsolodolo,end a combo with her v skill she plus on hit,request,1,1,7,a
108,1681,match round two,9,[1:14:35] ,someguyzero,kens learning,caction,3,1,7,a
109,1682,match round two,9,[1:14:37] ,squalladv,dasmesee more than half actually,cdesign,4,1,7,a
110,1683,match round two,9,[1:14:38] ,topgunlt,itll be good against those annoying side switchers,cinfo,5,1,7,a
111,1684,match round two,9,[1:14:39] ,thedarkfenix,i think we spoke too soon she grew on me k ken,cinfo,5,1,7,b
112,1685,match round two,9,[1:14:40] ,poorygone,her stance is derived from final fight and they look weird,cdesign,4,1,7,b
113,1686,match round two,9,[1:14:46] ,mrlawyer,guys is her dp slow just like urien ed and falke,question,8,1,7,b
114,1687,match round two,9,[1:14:54] ,dangalfthekrey,dasmesee ikr its like capcom doesnt know theres more kinds of white people than nordics,game,9,1,7,b
115,1688,match round two,9,[1:14:57] ,garlandu,these dps are giving me ptsd,cinfo,5,1,7,b
116,1689,match round two,9,[1:14:58] ,gregcanela,hey take this,request,1,1,7,b
117,1690,match round two,9,[1:14:59] ,mrmuddyk,wow,goodp,6,1,7,c
118,1691,match round two,9,[1:15:01] ,thelexnard,no bar used too,caction,3,1,7,c
119,1692,match round two,9,[1:15:02] ,someguyzero,bouncing fireball,caction,3,1,7,c
120,1693,match round two,9,[1:15:02] ,taken,o,goodp,6,1,7,c
121,1694,match round two,9,[1:15:04] ,eeega,not bad,goodp,6,1,7,c
