category,t0,t1,t2
badp,0.96,0,1.25
caction,2.25,1.93,3.75
cdesign,7.4,13.18,7.81
cinfo,15.43,11.25,15.63
comment,3.22,2.57,1.25
game,16.72,12.22,18.44
goodp,4.5,4.82,4.06
other,36.01,36.98,32.19
question,8.68,10.93,8.44
request,4.82,6.11,7.19
