index,event,event_code,time,user,message,category,code,diff
3402,match round one,8,[2:17:03] ,bobdobbz,kfigueroa its good its nothing fancy though just basic the normal one i will say i was bothered theres no place to rest the palm of my hands tho at first,game,9,1
3403,match round one,8,[2:17:07] ,poorygone,lucia can since she has f,cinfo,5,1
3404,match round one,8,[2:17:09] ,darnellplayer,glovecold yeah for one season until people bitched,other,10,1
3405,match round one,8,[2:17:10] ,ssjsoujiro,akuma,request,1,1
3406,match round one,8,[2:17:11] ,robzoobie,were there balance changes,question,8,1
3407,match round one,8,[2:17:12] ,aitcho,what is run,question,8,1
3408,match round one,8,[2:17:12] ,ghostfromrdstrike,when will they release ryu reofeels,question,8,1
3409,match round one,8,[2:17:13] ,icexvader,how do u have her,question,8,1
3410,match round one,8,[2:17:15] ,realtier,mrlawyer bronze players ryu is kind of a starting character i believe,game,9,1
3411,match round one,8,[2:17:24] ,capoph,hey new character this the guy from smash,game,9,1
3412,match round one,8,[2:17:27] ,damuffinman,no akumas in top was weird,cinfo,5,1
3413,match round one,8,[2:17:29] ,megatonbeef,robzoobie only minor bug fixes,game,9,1
3414,match round one,8,[2:17:30] ,hayates,f and an ex reversal is really important,other,10,1
3415,match round one,8,[2:17:34] ,supremecoy,probably for general public appeal nrs should develop characters that are good against zoningi agree dragon cetrion is not promotingt mk in good way even he play very strongly close combat frame traps,other,10,1
3416,match round one,8,[2:17:38] ,mrlawyer,realtier it does make sense,other,10,1
3417,match round one,8,[2:17:42] ,laverde,anyone on the east coast got the summer pack yet,question,8,1
3418,match round one,8,[2:17:46] ,yamsandjams,lmao,goodp,6,1
3464,match round one,8,[2:19:11] ,squalladv,erosenpai no ryu is rumored for november december,game,9,46
3465,match round one,8,[2:19:14] ,darnellplayer,roninwoof a different playstyle cant have all rushdown,game,9,1
3466,match round one,8,[2:19:25] ,abigailgodchickenfkr,damuffinman what u doing here,question,8,1
3467,match round one,8,[2:19:32] ,damuffinman,abigailgodchickenfkr,other,10,1
3468,match round one,8,[2:19:43] ,roninwoof,darnellplayer the absense of zoning does not equal rush down,other,10,1
3469,match round one,8,[2:19:48] ,predacn,i see some names i recognize,other,10,1
3470,match round one,8,[2:19:56] ,damuffinman,predacn doodbro,other,10,1
3471,match round one,8,[2:19:59] ,bobdobbz,kfigueroa i will prob get a regular one as well sometime this year im very happy with it,other,10,1
3472,match round one,8,[2:19:59] ,abigailgodchickenfkr,predacn doodbro,other,10,1
3521,match round one,8,[2:22:19] ,nightmarejames,honda seems powerful but hes abigail food,cinfo,5,49
3522,match round one,8,[2:22:19] ,anon,oh yeah did do trials already,comment,2,1
3523,match round one,8,[2:22:21] ,ghostfromrdstrike,remember this character reoboon,other,10,1
3524,match round one,8,[2:22:22] ,bobdobbz,kfigueroa httpsimgurcomgallerykvlkpt cat photo bombed,other,10,1
3525,match round one,8,[2:22:23] ,roninwoof,final fight,comment,2,1
3526,match round one,8,[2:22:23] ,darnellplayer,nurselee get ready to guess,other,10,1
3527,match round one,8,[2:22:24] ,kristoffers,shes a main character from final fight,cinfo,5,1
3528,match round one,8,[2:22:28] ,afroshouji,final fight,other,10,1
3529,match round one,8,[2:22:30] ,predacn,shes from final fight,cinfo,5,1
3530,match round one,8,[2:22:31] ,megatonbeef,kirb sounds cool,cdesign,4,1
3531,match round one,8,[2:22:32] ,themegamansam,its kage time,request,1,1
3532,match round one,8,[2:22:32] ,1,oh ok thx,other,10,1
3533,match round one,8,[2:22:35] ,naughtyjuri,first time,other,10,1
3534,match round one,8,[2:22:35] ,damuffinman,she was a final fight char,cinfo,5,1
3535,match round one,8,[2:22:41] ,poorygone,another leaked character lmao,game,9,1
3536,match round one,8,[2:22:48] ,goldcarats,omg is that evil ryu,game,9,1
3537,match round one,8,[2:22:48] ,yomothewanderer,you guys doing,other,10,1
3538,match round one,8,[2:22:50] ,nurselee,she was from final fight,cinfo,5,1
3568,match round one,8,[2:24:32] ,euury,league down hggokay hggokay hggokay,other,10,30
3569,match round one,8,[2:24:36] ,mexicanlew,wanna play some games ustinodj,other,10,1
3570,match round one,8,[2:24:40] ,aristaljunior,mkdp gives better oki right,other,10,1
3571,match round one,8,[2:24:47] ,xraiin,leaves you closer,other,10,1
3572,match round one,8,[2:24:50] ,abigailgodchickenfkr,poorygone funny that kage leaked but i didnt know until i saw the reveal during cap cup,game,9,1
3573,match round one,8,[2:24:50] ,1,ultra bronze get,game,9,1
3793,match round one,8,[2:35:00] ,darnellplayer,it seemed to lack impact the ca,comment,2,220
3794,match round one,8,[2:35:00] ,alphardegw,nah his credibility is gone dude didnt even punish sweeps,comment,2,1
3795,match round one,8,[2:35:06] ,beatsbynoelbrown,all aboard the unsub train choo choo,comment,2,1
3796,match round one,8,[2:35:07] ,tw,so can you not purchase the new characters on steam im not seeing an option,question,8,1
3797,match round one,8,[2:35:15] ,glovecold,i wish lucia had a taser,request,1,1
3798,match round one,8,[2:35:18] ,drragemonster,i think her ex run should have armor like abigails,cdesign,4,1
3799,match round one,8,[2:35:20] ,solideva,end him make him delete sfv,request,1,1
3800,match round one,8,[2:35:20] ,cxmperr,is sfv still down,question,8,1
3801,match round one,8,[2:35:26] ,namlay,run into kick after smp cmp,request,1,1
3888,match round one,8,[2:42:00] ,beatsbynoelbrown,canadian honda,comment,2,87
3889,match round one,8,[2:42:01] ,aminefifty,whens poison,question,8,1
3890,match round one,8,[2:42:11] ,geneiyun,honda is the better blanka,cinfo,5,1
3891,match round one,8,[2:42:11] ,swiftruina,it sounds like he says ill fuck you up when he pops vt,cdesign,4,1
3892,match round one,8,[2:42:20] ,zyxwhitewind,turtle behind a shield behind a wall,cdesign,4,1
3893,match round one,8,[2:42:29] ,megatonbeef,honda best grappler for sure,cinfo,5,1
3894,match round one,8,[2:42:32] ,sidebysidefgc,its okay poison has so much depth,cinfo,5,1
3895,match round one,8,[2:42:32] ,nahuelpv,until oro comes out keepo,cinfo,5,1
3896,match round one,8,[2:42:33] ,beatsbynoelbrown,i feel like this costume redesign is inferior to classic honda whyd they even bother lol,cdesign,4,1
3897,match round one,8,[2:42:35] ,hartisas,whats in november,question,8,1
3898,match round one,8,[2:42:35] ,kiboshkaibutsu,so we get these chrs to diamond,game,9,1
3899,match round one,8,[2:42:38] ,poorygone,character per month,game,9,1
3900,match round one,8,[2:42:39] ,sidebysidefgc,she has kara normals,cinfo,5,1
3901,match round one,8,[2:42:40] ,cheeapone,whats in november,question,8,1
3902,match round one,8,[2:42:47] ,themegamansam,honda doesnt turtle he bunkers up for the winter,cinfo,5,1
3903,match round one,8,[2:42:47] ,tomysalamii,new characters,game,9,1
3904,match round one,8,[2:42:48] ,someguyzero,honda rashid karin top next tourney,cinfo,5,1
3905,match round one,8,[2:42:50] ,theenygma,well you could play cassandra and zafina instead evolaugh,request,1,1
3906,match round one,8,[2:43:01] ,peepcan,why not play ryu,question,8,1
3956,match round one,8,[2:45:20] ,someguyzero,he has a suit,cdesign,4,50
3957,match round one,8,[2:45:28] ,darnellplayer,countmeowingtonn what character,comment,2,1
3958,match round one,8,[2:45:29] ,squalladv,oh yeah,other,10,1
3959,match round one,8,[2:45:37] ,themegamansam,honda but give him another pair of arms,request,1,1
3960,match round one,8,[2:45:39] ,taken,zeku theme,other,10,1
3961,match round one,8,[2:45:40] ,beatsbynoelbrown,give honda a travis scott outfit i think seemsgood,request,1,1
3962,match round one,8,[2:45:42] ,gameart,this stage is sick seemsgood,game,9,1
3963,match round one,8,[2:45:48] ,easxl,one of his colors gives him grey hair and makes him old,cdesign,4,1
3964,match round one,8,[2:45:53] ,nurselee,beatsbynoelbrown lol that would be awesome,comment,2,1
3965,match round one,8,[2:45:54] ,predacn,honda needs a big toyota chain,request,1,1
3966,match round one,8,[2:45:58] ,solitudegaming,is the bundle available for purchase now,question,8,1
3967,match round one,8,[2:46:06] ,squalladv,this stage is also k fm right,game,9,1
3968,match round one,8,[2:46:09] ,bloodtidesgm,it is on pc,question,8,1
3969,match round one,8,[2:46:09] ,squalladv,or,other,10,1
3970,match round one,8,[2:46:09] ,bobdobbz,original sf stage is sick,game,9,1
3971,match round one,8,[2:46:10] ,joiztik,k viewers,other,10,1
3972,match round one,8,[2:46:11] ,lylatsoldier,can we play with him,question,8,1
4046,match round one,8,[2:50:00] ,sidebysidefgc,all the new characters look weird,cdesign,4,74
4047,match round one,8,[2:50:11] ,shinyakimura,predacn we just got final fight characters tho,game,9,1
4048,match round one,8,[2:50:15] ,1,so janemba on the th huhanyone hyped,other,10,1
4049,match round one,8,[2:50:31] ,megatonbeef,hell ya,goodp,6,1
4050,match round one,8,[2:50:31] ,predacn,shinyakimura final fight its capcoms best franchise more never hurts,game,9,1
4051,match round one,8,[2:50:33] ,sacredsilence,sidebysidefgc ive been grinding with falke and im enjoying it gonna learn zeki,comment,2,1
4052,match round one,8,[2:50:39] ,akuma,janemba looks cool but gogeta tho,cdesign,4,1
4053,match round one,8,[2:50:45] ,aitcho,c viper,request,1,1
4284,match round one,8,[2:59:41] ,zyxwhitewind,capcom finally got tired of no one playing the new characters,game,9,231
4285,match round one,8,[2:59:41] ,easxl,honda,request,1,1
4286,match round one,8,[2:59:44] ,kiboshkaibutsu,am seeing some x ex splash,other,10,1
