category,t0,t1,t2
badp,2.94,0.00,3.96
caction,2.94,7.84,7.92
cdesign,7.84,3.92,8.91
cinfo,5.88,8.82,4.95
comment,3.92,6.86,2.97
game,18.63,17.65,6.93
goodp,0.98,1.96,7.92
other,40.20,39.22,42.57
question,7.84,7.84,8.91
request,8.82,5.88,4.95
